"name";"url"
"android.support.v4.text";"http://developer.android.com/reference/android/support/v4/text/package-summary.html"
"android.support.v4.util";"http://developer.android.com/reference/android/support/v4/util/package-summary.html"
"android.support.v4.view";"http://developer.android.com/reference/android/support/v4/view/package-summary.html"
"android.support.v4.view.accessibility";"http://developer.android.com/reference/android/support/v4/view/accessibility/package-summary.html"
"android.support.v4.view.animation";"http://developer.android.com/reference/android/support/v4/view/animation/package-summary.html"
"android.support.v4.widget";"http://developer.android.com/reference/android/support/v4/widget/package-summary.html"
"android.support.v7.app";"http://developer.android.com/reference/android/support/v7/app/package-summary.html"
"android.support.v7.appcompat";"http://developer.android.com/reference/android/support/v7/appcompat/package-summary.html"
"android.support.v7.cardview";"http://developer.android.com/reference/android/support/v7/cardview/package-summary.html"
"android.support.v7.graphics";"http://developer.android.com/reference/android/support/v7/graphics/package-summary.html"
"android.support.v7.graphics.drawable";"http://developer.android.com/reference/android/support/v7/graphics/drawable/package-summary.html"
"android.support.v7.gridlayout";"http://developer.android.com/reference/android/support/v7/gridlayout/package-summary.html"
"android.support.v7.media";"http://developer.android.com/reference/android/support/v7/media/package-summary.html"
"android.support.v7.mediarouter";"http://developer.android.com/reference/android/support/v7/mediarouter/package-summary.html"
"android.support.v7.preference";"http://developer.android.com/reference/android/support/v7/preference/package-summary.html"
"android.support.v7.recyclerview";"http://developer.android.com/reference/android/support/v7/recyclerview/package-summary.html"
"android.support.v7.util";"http://developer.android.com/reference/android/support/v7/util/package-summary.html"
"android.support.v7.view";"http://developer.android.com/reference/android/support/v7/view/package-summary.html"
"android.support.v7.widget";"http://developer.android.com/reference/android/support/v7/widget/package-summary.html"
"android.support.v7.widget.helper";"http://developer.android.com/reference/android/support/v7/widget/helper/package-summary.html"
"android.support.v7.widget.util";"http://developer.android.com/reference/android/support/v7/widget/util/package-summary.html"
"android.support.v8.renderscript";"http://developer.android.com/reference/android/support/v8/renderscript/package-summary.html"
"android.system";"http://developer.android.com/reference/android/system/package-summary.html"
"android.telecom";"http://developer.android.com/reference/android/telecom/package-summary.html"
"android.telephony";"http://developer.android.com/reference/android/telephony/package-summary.html"
"android.telephony.cdma";"http://developer.android.com/reference/android/telephony/cdma/package-summary.html"
